id,param1,param2,bnf,type
269,yarn.http.policy,yarn.resourcemanager.webapp.address,"{ yarn.http.policy = ""HTTPS_ONLY"" => yarn.resourcemanager.webapp.address in { YarnConfiguration.RM_WEBAPP_HTTPS_ADDRESS, YarnConfiguration.DEFAULT_RM_WEBAPP_HTTPS_ADDRESS } | yarn.http.policy = ""HTTP_AND_HTTPS"" => yarn.resourcemanager.webapp.address in { YarnConfiguration.RM_WEBAPP_ADDRESS, YarnConfiguration.RM_WEBAPP_HTTPS_ADDRESS } | yarn.http.policy = ""HTTP_ONLY"" => yarn.resourcemanager.webapp.address in { YarnConfiguration.RM_WEBAPP_ADDRESS, YarnConfiguration.DEFAULT_RM_WEBAPP_ADDRESS } }",value
270,yarn.http.policy,yarn.resourcemanager.webapp.https.address,"{ yarn.http.policy = ""HTTPS_ONLY"" => yarn.resourcemanager.webapp.https.address != null }",control
271,yarn.http.policy,yarn.router.webapp.address,"{ yarn.http.policy = ""HTTPS_ONLY"" => yarn.router.webapp.address != null }",control
272,yarn.http.policy,yarn.timeline-service.webapp.address,"{ yarn.http.policy = ""HTTPS_ONLY"" => yarn.timeline-service.webapp.address in {YarnConfiguration.DEFAULT_TIMELINE_SERVICE_WEBAPP_HTTPS_ADDRESS} }",value
273,yarn.http.policy,yarn.timeline-service.webapp.https.address,"{ yarn.http.policy = ""HTTPS_ONLY"" => yarn.timeline-service.webapp.https.address != null }",control
274,yarn.log-aggregation-enable,yarn.log-aggregation.retain-seconds,{ yarn.log-aggregation-enable = false => yarn.log-aggregation.retain-seconds = null },control
275,yarn.log-aggregation-enable,yarn.log.server.url,{ yarn.log-aggregation-enable = true => yarn.log.server.url != null },control
276,yarn.log-aggregation.file-formats,yarn.nodemanager.remote-app-log-dir,{ yarn.log-aggregation.file-formats != null => yarn.nodemanager.remote-app-log-dir != null },control
277,yarn.log-aggregation.retain-check-interval-seconds,yarn.log-aggregation.retain-seconds,{ yarn.log-aggregation.retain-seconds = ANY => yarn.log-aggregation.retain-check-interval-seconds != null },overwrite
278,yarn.nm.liveness-monitor.expiry-interval-ms,yarn.resourcemanager.nodemanagers.heartbeat-interval-ms,"{ yarn.resourcemanager.nodemanagers.heartbeat-interval-ms = ""ANY"" => yarn.nm.liveness-monitor.expiry-interval-ms >= yarn.resourcemanager.nodemanagers.heartbeat-interval-ms }",value
279,yarn.nodemanager.address,yarn.nodemanager.bind-host,{ yarn.nodemanager.bind-host != null => yarn.nodemanager.address != null },control
280,yarn.nodemanager.amrmproxy.enabled,yarn.nodemanager.distributed-scheduling.enabled,{ yarn.nodemanager.amrmproxy.enabled = true => yarn.nodemanager.distributed-scheduling.enabled = ANY },overwrite
281,yarn.nodemanager.container-monitor.enabled,yarn.nodemanager.container-monitor.interval-ms,{ yarn.nodemanager.container-monitor.enabled = true => yarn.nodemanager.container-monitor.interval-ms > 0 },value
282,yarn.nodemanager.disk-health-checker.enable,yarn.nodemanager.disk-health-checker.min-healthy-disks,{ yarn.nodemanager.disk-health-checker.enable = false => yarn.nodemanager.disk-health-checker.min-healthy-disks = ANY },overwrite
283,yarn.nodemanager.distributed-scheduling.enabled,yarn.resourcemanager.opportunistic-container-allocation.enabled,{ yarn.nodemanager.distributed-scheduling.enabled = true => yarn.resourcemanager.opportunistic-container-allocation.enabled = true },control
284,yarn.nodemanager.distributed-scheduling.enabled,yarn.resourcemanager.scheduler.client.thread-count,{ yarn.nodemanager.distributed-scheduling.enabled = true => yarn.resourcemanager.scheduler.client.thread-count != null },control
285,yarn.nodemanager.linux-container-executor.cgroups.hierarchy,yarn.nodemanager.linux-container-executor.cgroups.mount,{ yarn.nodemanager.linux-container-executor.cgroups.mount = false => yarn.nodemanager.linux-container-executor.cgroups.hierarchy != null },control
286,yarn.nodemanager.linux-container-executor.cgroups.strict-resource-usage,yarn.nodemanager.resource.cpu-vcores,{ yarn.nodemanager.linux-container-executor.cgroups.strict-resource-usage = true => yarn.nodemanager.resource.cpu-vcores != null },control
287,yarn.nodemanager.process-kill-wait.ms,yarn.nodemanager.sleep-delay-before-sigkill.ms,"{ yarn.nodemanager.sleep-delay-before-sigkill.ms = ""ANY"" => yarn.nodemanager.process-kill-wait.ms = ""ANY"" => waitForContainersOnShutdownMillis > [0..default.MAX_VALUE] }",behavior
288,yarn.nodemanager.recovery.enabled,yarn.nodemanager.recovery.supervised,{ yarn.nodemanager.recovery.enabled = true => yarn.nodemanager.recovery.supervised = true },control
289,yarn.nodemanager.resource.cpu-vcores,yarn.nodemanager.resource.percentage-physical-cpu-limit,{ NM_WINDOWS_CONTAINER_CPU_LIMIT_ENABLED = true => (yarn.nodemanager.resource.cpu-vcores != null && yarn.nodemanager.resource.percentage-physical-cpu-limit != null) },behavior
290,yarn.nodemanager.resource.memory-mb,yarn.nodemanager.vmem-pmem-ratio,{ yarn.nodemanager.vmem-pmem-ratio > 0.99 => yarn.nodemanager.resource.memory-mb != null },value
291,yarn.nodemanager.runtime.linux.docker.enable-userremapping.allowed,yarn.nodemanager.runtime.linux.docker.userremapping-uid-threshold,{ yarn.nodemanager.runtime.linux.docker.enable-userremapping.allowed = true => yarn.nodemanager.runtime.linux.docker.userremapping-uid-threshold = ANY },control
292,yarn.resourcemanager.address,yarn.resourcemanager.principal,{ yarn.resourcemanager.principal != null => yarn.resourcemanager.address != null },control
293,yarn.resourcemanager.bind-host,yarn.resourcemanager.resource-tracker.address,"{ yarn.resourcemanager.bind-host = """" || yarn.resourcemanager.bind-host = null => yarn.resourcemanager.resource-tracker.address != null }",control
294,yarn.resourcemanager.connect.max-wait.ms,yarn.resourcemanager.connect.retry-interval.ms,{ yarn.resourcemanager.connect.max-wait.ms < yarn.resourcemanager.connect.retry-interval.ms => yarn.resourcemanager.connect.max-wait.ms = 0 },value
295,yarn.resourcemanager.ha.automatic-failover.embedded,yarn.resourcemanager.ha.automatic-failover.enabled,{ yarn.resourcemanager.ha.automatic-failover.enabled = true => yarn.resourcemanager.ha.automatic-failover.embedded = ANY },overwrite
296,yarn.resourcemanager.ha.enabled,yarn.resourcemanager.zk-state-store.root-node.acl,{ yarn.resourcemanager.ha.enabled = true => yarn.resourcemanager.zk-state-store.root-node.acl != null },behavior
297,yarn.resourcemanager.ha.enabled,yarn.web-proxy.address,{ yarn.resourcemanager.ha.enabled = true => yarn.web-proxy.address != null },control
298,yarn.resourcemanager.ha.id,yarn.resourcemanager.ha.rm-ids,{ yarn.resourcemanager.ha.rm-ids != null => yarn.resourcemanager.ha.id = yarn.resourcemanager.ha.rm-ids[0] },default
299,yarn.resourcemanager.webapp.address,yarn.resourcemanager.webapp.https.address,{ yarn.resourcemanager.webapp.https.address != null => yarn.resourcemanager.webapp.address = ANY },overwrite
300,yarn.scheduler.maximum-allocation-mb,yarn.scheduler.minimum-allocation-mb,"{ yarn.scheduler.minimum-allocation-mb = ""ANY"" => yarn.scheduler.minimum-allocation-mb <= yarn.scheduler.maximum-allocation-mb }",value
301,yarn.scheduler.maximum-allocation-vcores,yarn.scheduler.minimum-allocation-vcores,{ yarn.scheduler.minimum-allocation-vcores > 0 => yarn.scheduler.minimum-allocation-vcores <= yarn.scheduler.maximum-allocation-vcores },value
302,yarn.sharedcache.enabled,yarn.sharedcache.nm.uploader.thread-count,{ yarn.sharedcache.enabled = true => yarn.sharedcache.nm.uploader.thread-count != null },control
303,yarn.system-metrics-publisher.enabled,yarn.timeline-service.enabled,{ yarn.timeline-service.enabled = true => yarn.system-metrics-publisher.enabled = true },control
304,yarn.webapp.ui2.enable,yarn.webapp.ui2.war-file-path,{ yarn.webapp.ui2.enable = true => yarn.webapp.ui2.war-file-path != null },control
