hadoop.common.configuration.version,version of this configuration file,0.23.0
dfs.encrypt.data.transfer.algorithm," This value may be set to either ""3des"" or ""rc4"". If nothing is set, then the configured JCE default on the system is used (usually 3DES.) It is widely believed that 3DES is more cryptographically secure, but RC4 is substantially faster.  Note that if AES is supported by both the client and server then this  encryption algorithm will only be used to initially transfer keys for AES. (See dfs.encrypt.data.transfer.cipher.suites.)  ",
dfs.encrypt.data.transfer.cipher.suites," This value may be either undefined or AES/CTR/NoPadding.  If defined, then dfs.encrypt.data.transfer uses the specified cipher suite for data encryption.  If not defined, then only the algorithm specified in dfs.encrypt.data.transfer.algorithm is used.  By default, the property is not defined.  ",
dfs.encrypt.data.transfer.cipher.key.bitlength," The key bitlength negotiated by dfsclient and datanode for encryption. This value may be set to either 128, 192 or 256.  ",128
dfs.trustedchannel.resolver.class,"   TrustedChannelResolver is used to determine whether a channel    is trusted for plain data transfer. The TrustedChannelResolver is   invoked on both client and server side. If the resolver indicates    that the channel is trusted, then the data transfer will not be    encrypted even if dfs.encrypt.data.transfer is set to true. The   default implementation returns false indicating that the channel    is not trusted.  ",
dfs.data.transfer.protection," A comma-separated list of SASL protection values used for secured connections to the DataNode when reading or writing block data.  Possible values are authentication, integrity and privacy.  authentication means authentication only and no integrity or privacy; integrity implies authentication and integrity are enabled; and privacy implies all of authentication, integrity and privacy are enabled.  If dfs.encrypt.data.transfer is set to true, then it supersedes the setting for dfs.data.transfer.protection and enforces that all connections must use a specialized encrypted SASL handshake.  This property is ignored for connections to a DataNode listening on a privileged port.  In this case, it is assumed that the use of a privileged port establishes sufficient trust.  ",
dfs.data.transfer.saslproperties.resolver.class," SaslPropertiesResolver used to resolve the QOP used for a connection to the DataNode when reading or writing block data. If not specified, the value of hadoop.security.saslproperties.resolver.class is used as the default value.  ",
dfs.datanode.hdfs-blocks-metadata.enabled, Boolean which enables backend datanode-side support for the experimental DistributedFileSystem#getFileVBlockStorageLocations API.  ,false
dfs.client.file-block-storage-locations.num-threads, Number of threads used for making parallel RPCs in DistributedFileSystem#getFileBlockStorageLocations().  ,10
dfs.client.file-block-storage-locations.timeout.millis, Timeout (in milliseconds) for the parallel RPCs made in DistributedFileSystem#getFileBlockStorageLocations().  ,1000
dfs.journalnode.rpc-address, The JournalNode RPC server address and port.  ,0.0.0.0:8485
dfs.journalnode.rpc-bind-host," The actual address the RPC server will bind to. If this optional address is set, it overrides only the hostname portion of dfs.journalnode.rpc-address. This is useful for making the JournalNode listen on all interfaces by setting it to 0.0.0.0.  ",
dfs.journalnode.http-address, The address and port the JournalNode HTTP server listens on. If the port is 0 then the server will start on a free port.  ,0.0.0.0:8480
dfs.journalnode.http-bind-host," The actual address the HTTP server will bind to. If this optional address is set, it overrides only the hostname portion of dfs.journalnode.http-address. This is useful for making the JournalNode HTTP server listen on allinterfaces by setting it to 0.0.0.0.  ",
dfs.journalnode.https-address, The address and port the JournalNode HTTPS server listens on. If the port is 0 then the server will start on a free port.  ,0.0.0.0:8481
dfs.journalnode.https-bind-host," The actual address the HTTP server will bind to. If this optional address is set, it overrides only the hostname portion of dfs.journalnode.https-address. This is useful for making the JournalNode HTTP server listen on all interfaces by setting it to 0.0.0.0.  ",
dfs.namenode.audit.loggers," List of classes implementing audit loggers that will receive audit events. These should be implementations of org.apache.hadoop.hdfs.server.namenode.AuditLogger. The special value ""default"" can be used to reference the default audit logger, which uses the configured log system. Installing custom audit loggers may affect the performance and stability of the NameNode. Refer to the custom logger's documentation for more details.  ",default
dfs.datanode.available-space-volume-choosing-policy.balanced-space-threshold," Only used when the dfs.datanode.fsdataset.volume.choosing.policy is set to org.apache.hadoop.hdfs.server.datanode.fsdataset.AvailableSpaceVolumeChoosingPolicy. This setting controls how much DN volumes are allowed to differ in terms of bytes of free disk space before they are considered imbalanced. If the free space of all the volumes are within this range of each other, the volumes will be considered balanced and block assignments will be done on a pure round robin basis.  ",10737418240
dfs.datanode.available-space-volume-choosing-policy.balanced-space-preference-fraction," Only used when the dfs.datanode.fsdataset.volume.choosing.policy is set to org.apache.hadoop.hdfs.server.datanode.fsdataset.AvailableSpaceVolumeChoosingPolicy. This setting controls what percentage of new block allocations will be sent to volumes with more available disk space than others. This setting should be in the range 0.0 - 1.0, though in practice 0.5 - 1.0, since there should be no reason to prefer that volumes with less available disk space receive more block allocations.  ",0.75f
dfs.namenode.edits.noeditlogchannelflush," Specifies whether to flush edit log file channel. When set, expensive FileChannel#force calls are skipped and synchronous disk writes are enabled instead by opening the edit log file with RandomAccessFile(""rws"") flags. This can significantly improve the performance of edit log writes on the Windows platform. Note that the behavior of the ""rws"" flags is platform and hardware specific and might not provide the same level of guarantees as FileChannel#force. For example, the write will skip the disk-cache on SAS and SCSI devices while it might not on SATA devices. This is an expert level setting, change with caution.  ",false
dfs.client.cache.drop.behind.writes," Just like dfs.datanode.drop.cache.behind.writes, this setting causes the page cache to be dropped behind HDFS writes, potentially freeing up more memory for other uses.  Unlike dfs.datanode.drop.cache.behind.writes, this is a client-side setting rather than a setting for the entire datanode. If present, this setting will override the DataNode default. If the native libraries are not available to the DataNode, this configuration has no effect.  ",
dfs.client.cache.drop.behind.reads," Just like dfs.datanode.drop.cache.behind.reads, this setting causes the page cache to be dropped behind HDFS reads, potentially freeing up more memory for other uses.  Unlike dfs.datanode.drop.cache.behind.reads, this is a client-side setting rather than a setting for the entire datanode.  If present, this setting will override the DataNode default. If the native libraries are not available to the DataNode, this configuration has no effect.  ",
dfs.client.cache.readahead," When using remote reads, this setting causes the datanode to read ahead in the block file using posix_fadvise, potentially decreasing I/O wait times.  Unlike dfs.datanode.readahead.bytes, this is a client-side setting rather than a setting for the entire datanode.  If present, this setting will override the DataNode default. When using local reads, this setting determines how much readahead we do in BlockReaderLocal. If the native libraries are not available to the DataNode, this configuration has no effect.  ",
dfs.client.server-defaults.validity.period.ms, The amount of milliseconds after which cached server defaults are updated. By default this parameter is set to 1 hour.  ,3600000
dfs.namenode.enable.retrycache," This enables the retry cache on the namenode. Namenode tracks for non-idempotent requests the corresponding response. If a client retries the request, the response from the retry cache is sent. Such operations are tagged with annotation @AtMostOnce in namenode protocols. It is recommended that this flag be set to true. Setting it to false, will result in clients getting failure responses to retried request. This flag must  be enabled in HA setup for transparent fail-overs. The entries in the cache have expiration time configurable using dfs.namenode.retrycache.expirytime.millis.  ",true
dfs.namenode.retrycache.expirytime.millis, The time for which retry cache entries are retained.  ,600000
dfs.namenode.retrycache.heap.percent," This parameter configures the heap size allocated for retry cache (excluding the response cached). This corresponds to approximately 4096 entries for every 64MB of namenode process java heap size. Assuming retry cache entry expiration time (configured using dfs.namenode.retrycache.expirytime.millis) of 10 minutes, this enables retry cache to support 7 operations per second sustained for 10 minutes. As the heap size is increased, the operation rate linearly increases.  ",0.03f
dfs.client.mmap.enabled," If this is set to false, the client won't attempt to perform memory-mapped reads.  ",true
dfs.client.mmap.cache.size," When zero-copy reads are used, the DFSClient keeps a cache of recently used memory mapped regions.  This parameter controls the maximum number of entries that we will keep in that cache. The larger this number is, the more file descriptors we will potentially use for memory-mapped files.  mmaped files also use virtual address space. You may need to increase your ulimit virtual address space limits before increasing the client mmap cache size. Note that you can still do zero-copy reads when this size is set to 0.  ",256
dfs.client.mmap.cache.timeout.ms," The minimum length of time that we will keep an mmap entry in the cache between uses.  If an entry is in the cache longer than this, and nobody uses it, it will be removed by a background thread.  ",3600000
dfs.client.mmap.retry.timeout.ms, The minimum amount of time that we will wait before retrying a failed mmap operation.  ,300000
dfs.client.short.circuit.replica.stale.threshold.ms," The maximum amount of time that we will consider a short-circuit replica to be valid, if there is no communication from the DataNode.  After this time has elapsed, we will re-fetch the short-circuit replica even if it is in the cache.  ",1800000
dfs.namenode.path.based.cache.block.map.allocation.percent, The percentage of the Java heap which we will allocate to the cached blocks map.  The cached blocks map is a hash map which uses chained hashing. Smaller maps may be accessed more slowly if the number of cached blocks is large; larger maps will consume more memory.  ,0.25
dfs.datanode.max.locked.memory," The amount of memory in bytes to use for caching of block replicas in memory on the datanode. The datanode's maximum locked memory soft ulimit (RLIMIT_MEMLOCK) must be set to at least this value, else the datanode will abort on startup. By default, this parameter is set to 0, which disables in-memory caching. If the native libraries are not available to the DataNode, this configuration has no effect.  ",0
dfs.namenode.list.cache.directives.num.responses, This value controls the number of cache directives that the NameNode will send over the wire in response to a listDirectives RPC.  ,100
dfs.namenode.list.cache.pools.num.responses, This value controls the number of cache pools that the NameNode will send over the wire in response to a listPools RPC.  ,100
dfs.namenode.path.based.cache.refresh.interval.ms," The amount of milliseconds between subsequent path cache rescans.  Path cache rescans are when we calculate which blocks should be cached, and on what datanodes. By default, this parameter is set to 30 seconds.  ",30000
dfs.namenode.path.based.cache.retry.interval.ms," When the NameNode needs to uncache something that is cached, or cache something that is not cached, it must direct the DataNodes to do so by sending a DNA_CACHE or DNA_UNCACHE command in response to a DataNode heartbeat.  This parameter controls how frequently the NameNode will resend these commands.  ",30000
dfs.datanode.fsdatasetcache.max.threads.per.volume, The maximum number of threads per volume to use for caching new data on the datanode. These threads consume both I/O and CPU. This can affect normal datanode operations.  ,4
dfs.cachereport.intervalMsec," Determines cache reporting interval in milliseconds.  After this amount of time, the DataNode sends a full report of its cache state to the NameNode. The NameNode uses the cache report to update its map of cached blocks to DataNode locations. This configuration has no effect if in-memory caching has been disabled by setting dfs.datanode.max.locked.memory to 0 (which is the default). If the native libraries are not available to the DataNode, this configuration has no effect.  ",10000
dfs.namenode.edit.log.autoroll.multiplier.threshold," Determines when an active namenode will roll its own edit log. The actual threshold (in number of edits) is determined by multiplying this value by dfs.namenode.checkpoint.txns. This prevents extremely large edit files from accumulating on the active namenode, which can cause timeouts during namenode startup and pose an administrative hassle. This behavior is intended as a failsafe for when the standby or secondary namenode fail to roll the edit log by the normal checkpoint threshold.  ",2.0
dfs.namenode.edit.log.autoroll.check.interval.ms," How often an active namenode will check if it needs to roll its edit log, in milliseconds.  ",300000
dfs.webhdfs.user.provider.user.pattern," Valid pattern for user and group names for webhdfs, it must be a valid java regex.  ",^[A-Za-z_][A-Za-z0-9._-]*[$]?$
dfs.webhdfs.acl.provider.permission.pattern," Valid pattern for user and group names in webhdfs acl operations, it must be a valid java regex.  ","^(default:)?(user|group|mask|other):[[A-Za-z_][A-Za-z0-9._-]]*:([rwx-]{3})?(,(default:)?(user|group|mask|other):[[A-Za-z_][A-Za-z0-9._-]]*:([rwx-]{3})?)*$"
dfs.webhdfs.socket.connect-timeout," Socket timeout for connecting to WebHDFS servers. This prevents a WebHDFS client from hanging if the server hostname is misconfigured, or the server does not response before the timeout expires. Value is followed by a unit specifier: ns, us, ms, s, m, h, d for nanoseconds, microseconds, milliseconds, seconds, minutes, hours, days respectively. Values should provide units, but milliseconds are assumed.  ",60s
dfs.webhdfs.socket.read-timeout," Socket timeout for reading data from WebHDFS servers. This prevents a WebHDFS client from hanging if the server stops sending data. Value is followed by a unit specifier: ns, us, ms, s, m, h, d for nanoseconds, microseconds, milliseconds, seconds, minutes, hours, days respectively. Values should provide units, but milliseconds are assumed.  ",60s
dfs.client.context," The name of the DFSClient context that we should use.  Clients that share a context share a socket cache and short-circuit cache, among other things. You should only change this if you don't want to share with another set of threads.  ",default
dfs.client.read.shortcircuit, This configuration parameter turns on short-circuit local reads.  ,false
dfs.client.socket.send.buffer.size," Socket send buffer size for a write pipeline in DFSClient side. This may affect TCP connection throughput. If it is set to zero or negative value, no buffer size will be set explicitly, thus enable tcp auto-tuning on some system. The default value is 0.  ",0
dfs.domain.socket.path," Optional.  This is a path to a UNIX domain socket that will be used for communication between the DataNode and local HDFS clients. If the string ""_PORT"" is present in this path, it will be replaced by the TCP port of the DataNode.  ",
dfs.client.read.shortcircuit.skip.checksum," If this configuration parameter is set, short-circuit local reads will skip checksums. This is normally not recommended, but it may be useful for special setups. You might consider using this if you are doing your own checksumming outside of HDFS.  ",false
dfs.client.read.shortcircuit.streams.cache.size," The DFSClient maintains a cache of recently opened file descriptors. This parameter controls the maximum number of file descriptors in the cache. Setting this higher will use more file descriptors, but potentially provide better performance on workloads involving lots of seeks.  ",256
dfs.client.read.shortcircuit.streams.cache.expiry.ms, This controls the minimum amount of time file descriptors need to sit in the client cache context before they can be closed for being inactive for too long.  ,300000
dfs.datanode.shared.file.descriptor.paths, Comma separated paths to the directory on which shared memory segments are created. The client and the DataNode exchange information via this shared memory segment. It tries paths in order until creation of shared memory segment succeeds.  ,"/dev/shm,/tmp"
dfs.namenode.audit.log.debug.cmdlist, A comma separated list of NameNode commands that are written to the HDFS namenode audit log only if the audit log level is debug.  ,
dfs.client.use.legacy.blockreader.local, Legacy short-circuit reader implementation based on HDFS-2246 is used if this configuration parameter is true. This is for the platforms other than Linux where the new implementation based on HDFS-347 is not available.  ,false
dfs.block.local-path-access.user, Comma separated list of the users allowed to open block files on legacy short-circuit local read.  ,
dfs.client.domain.socket.data.traffic, This control whether we will try to pass normal data traffic over UNIX domain socket rather than over TCP socket on node-local data transfer. This is currently experimental and turned off by default.  ,false
dfs.namenode.reject-unresolved-dn-topology-mapping," If the value is set to true, then namenode will reject datanode  registration if the topology mapping for a datanode is not resolved and  NULL is returned (script defined by net.topology.script.file.name fails  to execute). Otherwise, datanode will be registered and the default rack  will be assigned as the topology path. Topology paths are important for  data resiliency, since they define fault domains. Thus it may be unwanted  behavior to allow datanode registration with the default rack if the  resolving topology failed.  ",false
dfs.client.slow.io.warning.threshold.ms,"The threshold in milliseconds at which we will log a slow io warning in a dfsclient. By default, this parameter is set to 30000 milliseconds (30 seconds).  ",30000
dfs.datanode.slow.io.warning.threshold.ms,"The threshold in milliseconds at which we will log a slow io warning in a datanode. By default, this parameter is set to 300 milliseconds.  ",300
dfs.namenode.xattrs.enabled, Whether support for extended attributes is enabled on the NameNode.  ,true
dfs.namenode.fs-limits.max-xattrs-per-inode, Maximum number of extended attributes per inode.  ,32
dfs.namenode.fs-limits.max-xattr-size," The maximum combined size of the name and value of an extended attribute in bytes. It should be larger than 0, and less than or equal to maximum size hard limit which is 32768.  ",16384
dfs.namenode.lease-recheck-interval-ms,During the release of lease a lock is hold that make any operations on the namenode stuck. In order to not block them during a too long duration we stop releasing lease after this max lock limit.  ,2000
dfs.namenode.max-lock-hold-to-release-lease-ms,During the release of lease a lock is hold that make any operations on the namenode stuck. In order to not block them during a too long duration we stop releasing lease after this max lock limit.  ,25
dfs.namenode.write-lock-reporting-threshold-ms,"When a write lock is held on the namenode for a long time, this will be logged as the lock is released. This sets how long the lock must be held for logging to occur.  ",5000
dfs.namenode.read-lock-reporting-threshold-ms,"When a read lock is held on the namenode for a long time, this will be logged as the lock is released. This sets how long the lock must be held for logging to occur.  ",5000
dfs.namenode.lock.detailed-metrics.enabled,"If true, the namenode will keep track of how long various operations hold the Namesystem lock for and emit this as metrics. These metrics have names of the form FSN(Read|Write)LockNanosOperationName, where OperationName denotes the name of the operation that initiated the lock hold (this will be OTHER for certain uncategorized operations) and they export the hold time values in nanoseconds.  ",false
dfs.namenode.fslock.fair,"If this is true, the FS Namesystem lock will be used in Fair mode, which will help to prevent writer threads from being starved, but can provide lower lock throughput. See java.util.concurrent.locks.ReentrantReadWriteLock for more information on fair/non-fair locks.  ",true
dfs.namenode.startup.delay.block.deletion.sec,"The delay in seconds at which we will pause the blocks deletion after Namenode startup. By default it's disabled. In the case a directory has large number of directories and files are deleted, suggested delay is one hour to give the administrator enough time to notice large number of pending deletion blocks and take corrective action.  ",0
dfs.namenode.list.encryption.zones.num.responses,"When listing encryption zones, the maximum number of zones that will be returned in a batch. Fetching the list incrementally in batches improves namenode performance.  ",100
dfs.namenode.list.openfiles.num.responses,"   When listing open files, the maximum number of open files that will be   returned in a single batch. Fetching the list incrementally in batches   improves namenode performance. ",1000
dfs.namenode.edekcacheloader.interval.ms,"When KeyProvider is configured, the interval time of warming up edek cache on NN starts up / becomes active. All edeks will be loaded from KMS into provider cache. The edek cache loader will try to warm up the cache until succeed or NN leaves active state.  ",1000
dfs.namenode.edekcacheloader.initial.delay.ms,"When KeyProvider is configured, the time delayed until the first attempt to warm up edek cache on NN start up / become active.  ",3000
dfs.namenode.inotify.max.events.per.rpc,Maximum number of events that will be sent to an inotify client in a single RPC response. The default value attempts to amortize away the overhead for this RPC while avoiding huge memory requirements for the client and NameNode (1000 events should consume no more than 1 MB.)  ,1000
dfs.user.home.dir.prefix,The directory to prepend to user name to get the user's home direcotry.  ,/user
dfs.datanode.cache.revocation.timeout.ms,"When the DFSClient reads from a block file which the DataNode is caching, the DFSClient can skip verifying checksums.  The DataNode will keep the block file in cache until the client is done.  If the client takes an unusually long time, though, the DataNode may need to evict the block file from the cache anyway.  This value controls how long the DataNode will wait for the client to release a replica that it is reading without checksums.  ",900000
dfs.datanode.cache.revocation.polling.ms,How often the DataNode should poll to see if the clients have stopped using a replica that the DataNode wants to uncache.  ,500
dfs.datanode.block.id.layout.upgrade.threads,The number of threads to use when creating hard links from current to previous blocks during upgrade of a DataNode to block ID-based block layout (see HDFS-6482 for details on the layout).,12
dfs.storage.policy.enabled, Allow users to change the storage policy on files and directories.  ,true
dfs.namenode.legacy-oiv-image.dir,"Determines where to save the namespace in the old fsimage format during checkpointing by standby NameNode or SecondaryNameNode. Users can dump the contents of the old format fsimage by oiv_legacy command. If the value is not specified, old format fsimage will not be saved in checkpoint.  ",
dfs.namenode.top.enabled,Enable nntop: reporting top users on namenode  ,true
dfs.namenode.top.window.num.buckets,Number of buckets in the rolling window implementation of nntop  ,10
dfs.namenode.top.num.users,Number of top users returned by the top tool  ,10
dfs.namenode.top.windows.minutes,comma separated list of nntop reporting periods in minutes  ,"1,5,25"
dfs.webhdfs.ugi.expire.after.access,"How long in milliseconds after the last access   the cached UGI will expire. With 0, never expire. ",600000
dfs.namenode.blocks.per.postponedblocks.rescan,Number of blocks to rescan for each iteration of postponedMisreplicatedBlocks.  ,10000
dfs.datanode.block-pinning.enabled,Whether pin blocks on favored DataNode.,false
dfs.client.block.write.locateFollowingBlock.initial.delay.ms,"The initial delay (unit is ms) for locateFollowingBlock, the delay time will increase exponentially(double) for each retry.  ",400
dfs.ha.zkfc.nn.http.timeout.ms," The HTTP connection and read timeout value (unit is ms ) when DFS ZKFC tries to get local NN thread dump after local NN becomes SERVICE_NOT_RESPONDING or SERVICE_UNHEALTHY. If it is set to zero, DFS ZKFC won't get local NN thread dump.  ",20000
dfs.namenode.quota.init-threads," The number of concurrent threads to be used in quota initialization. The speed of quota initialization also affects the namenode fail-over latency. If the size of name space is big, try increasing this.  ",4
dfs.datanode.transfer.socket.send.buffer.size," Socket send buffer size for DataXceiver (mirroring packets to downstream in pipeline). This may affect TCP connection throughput. If it is set to zero or negative value, no buffer size will be set explicitly, thus enable tcp auto-tuning on some system. The default value is 0.  ",0
dfs.datanode.transfer.socket.recv.buffer.size," Socket receive buffer size for DataXceiver (receiving packets from client during block writing). This may affect TCP connection throughput. If it is set to zero or negative value, no buffer size will be set explicitly, thus enable tcp auto-tuning on some system. The default value is 0.  ",0
dfs.namenode.upgrade.domain.factor," This is valid only when block placement policy is set to BlockPlacementPolicyWithUpgradeDomain. It defines the number of unique upgrade domains any block's replicas should have. When the number of replicas is less or equal to this value, the policy ensures each replica has an unique upgrade domain. When the number of replicas is greater than this value, the policy ensures the number of unique domains is at least this value.  ",${dfs.replication}
dfs.ha.zkfc.port, RPC port for Zookeeper Failover Controller.  ,8019
dfs.datanode.bp-ready.timeout, The maximum wait time for datanode to be ready before failing the received request. Setting this to 0 fails requests right away if the datanode is not yet registered with the namenode. This wait time reduces initial request failures after datanode restart.  ,20
dfs.datanode.cached-dfsused.check.interval.ms," The interval check time of loading DU_CACHE_FILE in each volume. When the cluster doing the rolling upgrade operations, it will usually lead dfsUsed cache file of each volume expired and redo the du operations in datanode and that makes datanode start slowly. Adjust this property can make cache file be available for the time as you want.  ",600000
dfs.webhdfs.rest-csrf.enabled," If true, then enables WebHDFS protection against cross-site request forgery (CSRF).  The WebHDFS client also uses this property to determine whether or not it needs to send the custom CSRF prevention header in its HTTP requests.  ",false
dfs.webhdfs.rest-csrf.custom-header, The name of a custom header that HTTP requests must send when protection against cross-site request forgery (CSRF) is enabled for WebHDFS by setting dfs.webhdfs.rest-csrf.enabled to true.  The WebHDFS client also uses this property to determine whether or not it needs to send the custom CSRF prevention header in its HTTP requests.  ,X-XSRF-HEADER
dfs.webhdfs.rest-csrf.methods-to-ignore, A comma-separated list of HTTP methods that do not require HTTP requests to include a custom header when protection against cross-site request forgery (CSRF) is enabled for WebHDFS by setting dfs.webhdfs.rest-csrf.enabled to true.  The WebHDFS client also uses this property to determine whether or not it needs to send the custom CSRF prevention header in its HTTP requests.  ,"GET,OPTIONS,HEAD,TRACE"
dfs.webhdfs.rest-csrf.browser-useragents-regex," A comma-separated list of regular expressions used to match against an HTTP request's User-Agent header when protection against cross-site request forgery (CSRF) is enabled for WebHDFS by setting dfs.webhdfs.reset-csrf.enabled to true.  If the incoming User-Agent matches any of these regular expressions, then the request is considered to be sent by a browser, and therefore CSRF prevention is enforced.  If the request's User-Agent does not match any of these regular expressions, then the request is considered to be sent by something other than a browser, such as scripted automation.  In this case, CSRF is not a potential attack vector, so the prevention is not enforced.  This helps achieve backwards-compatibility with existing automation that has not been updated to send the CSRF prevention header.  ","^Mozilla.*,^Opera.*"
dfs.xframe.enabled,"   If true, then enables protection against clickjacking by returning   X_FRAME_OPTIONS header value set to SAMEORIGIN.   Clickjacking protection prevents an attacker from using transparent or   opaque layers to trick a user into clicking on a button   or link on another page. ",true
dfs.xframe.value,"   This configration value allows user to specify the value for the   X-FRAME-OPTIONS. The possible values for this field are   DENY, SAMEORIGIN and ALLOW-FROM. Any other value will throw an   exception when namenode and datanodes are starting up. ",SAMEORIGIN
dfs.http.client.retry.policy.enabled," If ""true"", enable the retry policy of WebHDFS client. If ""false"", retry policy is turned off. Enabling the retry policy can be quite useful while using WebHDFS to copy large files between clusters that could timeout, or copy files between HA clusters that could failover during the copy.  ",false
dfs.http.client.retry.policy.spec," Specify a policy of multiple linear random retry for WebHDFS client, e.g. given pairs of number of retries and sleep time (n0, t0), (n1, t1), ..., the first n0 retries sleep t0 milliseconds on average, the following n1 retries sleep t1 milliseconds on average, and so on.  ","10000,6,60000,10"
dfs.http.client.failover.max.attempts, Specify the max number of failover attempts for WebHDFS client in case of network exception.  ,15
dfs.http.client.retry.max.attempts," Specify the max number of retry attempts for WebHDFS client, if the difference between retried attempts and failovered attempts is larger than the max number of retry attempts, there will be no more retries.  ",10
dfs.http.client.failover.sleep.base.millis, Specify the base amount of time in milliseconds upon which the exponentially increased sleep time between retries or failovers is calculated for WebHDFS client.  ,500
dfs.http.client.failover.sleep.max.millis, Specify the upper bound of sleep time in milliseconds between retries or failovers for WebHDFS client.  ,15000
dfs.namenode.hosts.provider.classname," The class that provides access for host files. org.apache.hadoop.hdfs.server.blockmanagement.HostFileManager is used by default which loads files specified by dfs.hosts and dfs.hosts.exclude. If org.apache.hadoop.hdfs.server.blockmanagement.CombinedHostFileManager is used, it will load the JSON file defined in dfs.hosts. To change class name, nn restart is required. ""dfsadmin -refreshNodes"" only refreshes the configuration files used by the class.  ",org.apache.hadoop.hdfs.server.blockmanagement.HostFileManager
datanode.https.port, HTTPS port for DataNode.  ,50475
dfs.balancer.dispatcherThreads, Size of the thread pool for the HDFS balancer block mover. dispatchExecutor  ,200
dfs.balancer.movedWinWidth, Window of time in ms for the HDFS balancer tracking blocks and its locations.  ,5400000
dfs.balancer.moverThreads, Thread pool size for executing block moves. moverThreadAllocator  ,1000
dfs.balancer.max-size-to-move, Maximum number of bytes that can be moved by the balancer in a single thread.  ,10737418240
dfs.balancer.getBlocks.min-block-size, Minimum block threshold size in bytes to ignore when fetching a source's block list.  ,10485760
dfs.balancer.getBlocks.size, Total size in bytes of Datanode blocks to get when fetching a source's block list.  ,2147483648
dfs.balancer.block-move.timeout," Maximum amount of time in milliseconds for a block to move. If this is set greater than 0, Balancer will stop waiting for a block move completion after this time. In typical clusters, a 3 to 5 minute timeout is reasonable. If timeout happens to a large proportion of block moves, this needs to be increased. It could also be that too much work is dispatched and many nodes are constantly exceeding the bandwidth limit as a result. In that case, other balancer parameters might need to be adjusted. It is disabled (0) by default.  ",0
dfs.balancer.max-no-move-interval," If this specified amount of time has elapsed and no block has been moved out of a source DataNode, on more effort will be made to move blocks out of this DataNode in the current Balancer iteration.  ",60000
dfs.block.invalidate.limit," The maximum number of invalidate blocks sent by namenode to a datanode per heartbeat deletion command. This property works with ""dfs.namenode.invalidate.work.pct.per.iteration"" to throttle block deletions.  ",1000
dfs.block.misreplication.processing.limit, Maximum number of blocks to process for initializing replication queues.  ,10000
dfs.block.replicator.classname," Class representing block placement policy for non-striped files. There are four block placement policies currently being supported: BlockPlacementPolicyDefault, BlockPlacementPolicyWithNodeGroup, BlockPlacementPolicyRackFaultTolerant and BlockPlacementPolicyWithUpgradeDomain. BlockPlacementPolicyDefault chooses the desired number of targets for placing block replicas in a default way. BlockPlacementPolicyWithNodeGroup places block replicas on environment with node-group layer. BlockPlacementPolicyRackFaultTolerant places the replicas to more racks. BlockPlacementPolicyWithUpgradeDomain places block replicas that honors upgrade domain policy. The details of placing replicas are documented in the javadoc of the corresponding policy classes. The default policy is BlockPlacementPolicyDefault, and the corresponding class is org.apache.hadoop.hdfs.server.blockmanagement.BlockPlacementPolicyDefault.  ",org.apache.hadoop.hdfs.server.blockmanagement.BlockPlacementPolicyDefault
dfs.blockreport.incremental.intervalMsec," If set to a positive integer, the value in ms to wait between sending incremental block reports from the Datanode to the Namenode.  ",0
dfs.checksum.type, Checksum type  ,CRC32C
dfs.client.block.write.locateFollowingBlock.retries, Number of retries to use when finding the next block during HDFS writes.  ,5
dfs.client.failover.proxy.provider," The prefix (plus a required nameservice ID) for the class name of the configured Failover proxy provider for the host.  For more detailed information, please consult the ""Configuration Details"" section of the HDFS High Availability documentation.  ",
dfs.client.failover.random.order, Determines if the failover proxies are picked in random order instead of the configured order. The prefix can be used with an optional nameservice ID (of form dfs.client.failover.random.order[.nameservice]) in case multiple nameservices exist and random order should be enabled for specific nameservices.  ,false
dfs.client.key.provider.cache.expiry, DFS client security key cache expiration in milliseconds.  ,864000000
dfs.client.max.block.acquire.failures, Maximum failures allowed when trying to get block information from a specific datanode.  ,3
dfs.client.read.prefetch.size, The number of bytes for the DFSClient will fetch from the Namenode during a read operation.  Defaults to 10 * ${dfs.blocksize}.  ,
dfs.client.read.short.circuit.replica.stale.threshold.ms, Threshold in milliseconds for read entries during short-circuit local reads.  ,1800000
dfs.client.read.shortcircuit.buffer.size, Buffer size in bytes for short-circuit local reads.  ,1048576
dfs.client.replica.accessor.builder.classes," Comma-separated classes for building ReplicaAccessor.  If the classes are specified, client will use external BlockReader that uses the ReplicaAccessor built by the builder.  ",
dfs.client.retry.interval-ms.get-last-block-length, Retry interval in milliseconds to wait between retries in getting block lengths from the datanodes.  ,4000
dfs.client.retry.max.attempts, Max retry attempts for DFSClient talking to namenodes.  ,10
dfs.client.retry.policy.enabled," If true, turns on DFSClient retry policy.  ",false
dfs.client.retry.policy.spec, Set to pairs of timeouts and retries for DFSClient.  ,"10000,6,60000,10"
dfs.client.retry.times.get-last-block-length, Number of retries for calls to fetchLocatedBlocksAndGetLastBlockLength().  ,3
dfs.client.retry.window.base," Base time window in ms for DFSClient retries.  For each retry attempt, this value is extended linearly (e.g. 3000 ms for first attempt and first retry, 6000 ms for second retry, 9000 ms for third retry, etc.).  ",3000
dfs.client.socket-timeout, Default timeout value in milliseconds for all sockets.  ,60000
dfs.client.socketcache.capacity, Socket cache capacity (in entries) for short-circuit reads.  ,16
dfs.client.socketcache.expiryMsec, Socket cache expiration for short-circuit reads in msec.  ,3000
