dfs.namenode.legacy-oiv-image.dir,"Determines where to save the namespace in the old fsimage format during checkpointing by standby NameNode or SecondaryNameNode. Users can dump the contents of the old format fsimage by oiv_legacy command. If the value is not specified, old format fsimage will not be saved in checkpoint.  ",
dfs.namenode.top.enabled,Enable nntop: reporting top users on namenode  ,true
dfs.namenode.top.window.num.buckets,Number of buckets in the rolling window implementation of nntop  ,10
dfs.namenode.top.num.users,Number of top users returned by the top tool  ,10
dfs.namenode.top.windows.minutes,comma separated list of nntop reporting periods in minutes  ,"1,5,25"
dfs.webhdfs.ugi.expire.after.access,"How long in milliseconds after the last access   the cached UGI will expire. With 0, never expire. ",600000
dfs.namenode.blocks.per.postponedblocks.rescan,Number of blocks to rescan for each iteration of postponedMisreplicatedBlocks.  ,10000
dfs.datanode.block-pinning.enabled,Whether pin blocks on favored DataNode.,false
dfs.client.block.write.locateFollowingBlock.initial.delay.ms,"The initial delay (unit is ms) for locateFollowingBlock, the delay time will increase exponentially(double) for each retry.  ",400
dfs.ha.zkfc.nn.http.timeout.ms," The HTTP connection and read timeout value (unit is ms ) when DFS ZKFC tries to get local NN thread dump after local NN becomes SERVICE_NOT_RESPONDING or SERVICE_UNHEALTHY. If it is set to zero, DFS ZKFC won't get local NN thread dump.  ",20000
dfs.namenode.quota.init-threads," The number of concurrent threads to be used in quota initialization. The speed of quota initialization also affects the namenode fail-over latency. If the size of name space is big, try increasing this.  ",4
dfs.datanode.transfer.socket.send.buffer.size," Socket send buffer size for DataXceiver (mirroring packets to downstream in pipeline). This may affect TCP connection throughput. If it is set to zero or negative value, no buffer size will be set explicitly, thus enable tcp auto-tuning on some system. The default value is 0.  ",0
dfs.datanode.transfer.socket.recv.buffer.size," Socket receive buffer size for DataXceiver (receiving packets from client during block writing). This may affect TCP connection throughput. If it is set to zero or negative value, no buffer size will be set explicitly, thus enable tcp auto-tuning on some system. The default value is 0.  ",0
dfs.namenode.upgrade.domain.factor," This is valid only when block placement policy is set to BlockPlacementPolicyWithUpgradeDomain. It defines the number of unique upgrade domains any block's replicas should have. When the number of replicas is less or equal to this value, the policy ensures each replica has an unique upgrade domain. When the number of replicas is greater than this value, the policy ensures the number of unique domains is at least this value.  ",${dfs.replication}
dfs.ha.zkfc.port, RPC port for Zookeeper Failover Controller.  ,8019
dfs.datanode.bp-ready.timeout, The maximum wait time for datanode to be ready before failing the received request. Setting this to 0 fails requests right away if the datanode is not yet registered with the namenode. This wait time reduces initial request failures after datanode restart.  ,20
dfs.datanode.cached-dfsused.check.interval.ms," The interval check time of loading DU_CACHE_FILE in each volume. When the cluster doing the rolling upgrade operations, it will usually lead dfsUsed cache file of each volume expired and redo the du operations in datanode and that makes datanode start slowly. Adjust this property can make cache file be available for the time as you want.  ",600000
dfs.webhdfs.rest-csrf.enabled," If true, then enables WebHDFS protection against cross-site request forgery (CSRF).  The WebHDFS client also uses this property to determine whether or not it needs to send the custom CSRF prevention header in its HTTP requests.  ",false
dfs.webhdfs.rest-csrf.custom-header, The name of a custom header that HTTP requests must send when protection against cross-site request forgery (CSRF) is enabled for WebHDFS by setting dfs.webhdfs.rest-csrf.enabled to true.  The WebHDFS client also uses this property to determine whether or not it needs to send the custom CSRF prevention header in its HTTP requests.  ,X-XSRF-HEADER
dfs.webhdfs.rest-csrf.methods-to-ignore, A comma-separated list of HTTP methods that do not require HTTP requests to include a custom header when protection against cross-site request forgery (CSRF) is enabled for WebHDFS by setting dfs.webhdfs.rest-csrf.enabled to true.  The WebHDFS client also uses this property to determine whether or not it needs to send the custom CSRF prevention header in its HTTP requests.  ,"GET,OPTIONS,HEAD,TRACE"
dfs.webhdfs.rest-csrf.browser-useragents-regex," A comma-separated list of regular expressions used to match against an HTTP request's User-Agent header when protection against cross-site request forgery (CSRF) is enabled for WebHDFS by setting dfs.webhdfs.reset-csrf.enabled to true.  If the incoming User-Agent matches any of these regular expressions, then the request is considered to be sent by a browser, and therefore CSRF prevention is enforced.  If the request's User-Agent does not match any of these regular expressions, then the request is considered to be sent by something other than a browser, such as scripted automation.  In this case, CSRF is not a potential attack vector, so the prevention is not enforced.  This helps achieve backwards-compatibility with existing automation that has not been updated to send the CSRF prevention header.  ","^Mozilla.*,^Opera.*"
dfs.xframe.enabled,"   If true, then enables protection against clickjacking by returning   X_FRAME_OPTIONS header value set to SAMEORIGIN.   Clickjacking protection prevents an attacker from using transparent or   opaque layers to trick a user into clicking on a button   or link on another page. ",true
dfs.xframe.value,"   This configration value allows user to specify the value for the   X-FRAME-OPTIONS. The possible values for this field are   DENY, SAMEORIGIN and ALLOW-FROM. Any other value will throw an   exception when namenode and datanodes are starting up. ",SAMEORIGIN
dfs.http.client.retry.policy.enabled," If ""true"", enable the retry policy of WebHDFS client. If ""false"", retry policy is turned off. Enabling the retry policy can be quite useful while using WebHDFS to copy large files between clusters that could timeout, or copy files between HA clusters that could failover during the copy.  ",false
dfs.http.client.retry.policy.spec," Specify a policy of multiple linear random retry for WebHDFS client, e.g. given pairs of number of retries and sleep time (n0, t0), (n1, t1), ..., the first n0 retries sleep t0 milliseconds on average, the following n1 retries sleep t1 milliseconds on average, and so on.  ","10000,6,60000,10"
dfs.http.client.failover.max.attempts, Specify the max number of failover attempts for WebHDFS client in case of network exception.  ,15
dfs.http.client.retry.max.attempts," Specify the max number of retry attempts for WebHDFS client, if the difference between retried attempts and failovered attempts is larger than the max number of retry attempts, there will be no more retries.  ",10
dfs.http.client.failover.sleep.base.millis, Specify the base amount of time in milliseconds upon which the exponentially increased sleep time between retries or failovers is calculated for WebHDFS client.  ,500
dfs.http.client.failover.sleep.max.millis, Specify the upper bound of sleep time in milliseconds between retries or failovers for WebHDFS client.  ,15000
dfs.namenode.hosts.provider.classname," The class that provides access for host files. org.apache.hadoop.hdfs.server.blockmanagement.HostFileManager is used by default which loads files specified by dfs.hosts and dfs.hosts.exclude. If org.apache.hadoop.hdfs.server.blockmanagement.CombinedHostFileManager is used, it will load the JSON file defined in dfs.hosts. To change class name, nn restart is required. ""dfsadmin -refreshNodes"" only refreshes the configuration files used by the class.  ",org.apache.hadoop.hdfs.server.blockmanagement.HostFileManager
datanode.https.port, HTTPS port for DataNode.  ,50475
dfs.balancer.dispatcherThreads, Size of the thread pool for the HDFS balancer block mover. dispatchExecutor  ,200
dfs.balancer.movedWinWidth, Window of time in ms for the HDFS balancer tracking blocks and its locations.  ,5400000
dfs.balancer.moverThreads, Thread pool size for executing block moves. moverThreadAllocator  ,1000
dfs.balancer.max-size-to-move, Maximum number of bytes that can be moved by the balancer in a single thread.  ,10737418240
dfs.balancer.getBlocks.min-block-size, Minimum block threshold size in bytes to ignore when fetching a source's block list.  ,10485760
dfs.balancer.getBlocks.size, Total size in bytes of Datanode blocks to get when fetching a source's block list.  ,2147483648
dfs.balancer.block-move.timeout," Maximum amount of time in milliseconds for a block to move. If this is set greater than 0, Balancer will stop waiting for a block move completion after this time. In typical clusters, a 3 to 5 minute timeout is reasonable. If timeout happens to a large proportion of block moves, this needs to be increased. It could also be that too much work is dispatched and many nodes are constantly exceeding the bandwidth limit as a result. In that case, other balancer parameters might need to be adjusted. It is disabled (0) by default.  ",0
dfs.balancer.max-no-move-interval," If this specified amount of time has elapsed and no block has been moved out of a source DataNode, on more effort will be made to move blocks out of this DataNode in the current Balancer iteration.  ",60000
dfs.block.invalidate.limit," The maximum number of invalidate blocks sent by namenode to a datanode per heartbeat deletion command. This property works with ""dfs.namenode.invalidate.work.pct.per.iteration"" to throttle block deletions.  ",1000
dfs.block.misreplication.processing.limit, Maximum number of blocks to process for initializing replication queues.  ,10000
dfs.block.replicator.classname," Class representing block placement policy for non-striped files. There are four block placement policies currently being supported: BlockPlacementPolicyDefault, BlockPlacementPolicyWithNodeGroup, BlockPlacementPolicyRackFaultTolerant and BlockPlacementPolicyWithUpgradeDomain. BlockPlacementPolicyDefault chooses the desired number of targets for placing block replicas in a default way. BlockPlacementPolicyWithNodeGroup places block replicas on environment with node-group layer. BlockPlacementPolicyRackFaultTolerant places the replicas to more racks. BlockPlacementPolicyWithUpgradeDomain places block replicas that honors upgrade domain policy. The details of placing replicas are documented in the javadoc of the corresponding policy classes. The default policy is BlockPlacementPolicyDefault, and the corresponding class is org.apache.hadoop.hdfs.server.blockmanagement.BlockPlacementPolicyDefault.  ",org.apache.hadoop.hdfs.server.blockmanagement.BlockPlacementPolicyDefault
dfs.blockreport.incremental.intervalMsec," If set to a positive integer, the value in ms to wait between sending incremental block reports from the Datanode to the Namenode.  ",0
dfs.checksum.type, Checksum type  ,CRC32C
dfs.client.block.write.locateFollowingBlock.retries, Number of retries to use when finding the next block during HDFS writes.  ,5
dfs.client.failover.proxy.provider," The prefix (plus a required nameservice ID) for the class name of the configured Failover proxy provider for the host.  For more detailed information, please consult the ""Configuration Details"" section of the HDFS High Availability documentation.  ",
dfs.client.failover.random.order, Determines if the failover proxies are picked in random order instead of the configured order. The prefix can be used with an optional nameservice ID (of form dfs.client.failover.random.order[.nameservice]) in case multiple nameservices exist and random order should be enabled for specific nameservices.  ,false
dfs.client.key.provider.cache.expiry, DFS client security key cache expiration in milliseconds.  ,864000000
dfs.client.max.block.acquire.failures, Maximum failures allowed when trying to get block information from a specific datanode.  ,3
dfs.client.read.prefetch.size, The number of bytes for the DFSClient will fetch from the Namenode during a read operation.  Defaults to 10 * ${dfs.blocksize}.  ,
dfs.client.read.short.circuit.replica.stale.threshold.ms, Threshold in milliseconds for read entries during short-circuit local reads.  ,1800000
dfs.client.read.shortcircuit.buffer.size, Buffer size in bytes for short-circuit local reads.  ,1048576
dfs.client.replica.accessor.builder.classes," Comma-separated classes for building ReplicaAccessor.  If the classes are specified, client will use external BlockReader that uses the ReplicaAccessor built by the builder.  ",
dfs.client.retry.interval-ms.get-last-block-length, Retry interval in milliseconds to wait between retries in getting block lengths from the datanodes.  ,4000
dfs.client.retry.max.attempts, Max retry attempts for DFSClient talking to namenodes.  ,10
dfs.client.retry.policy.enabled," If true, turns on DFSClient retry policy.  ",false
dfs.client.retry.policy.spec, Set to pairs of timeouts and retries for DFSClient.  ,"10000,6,60000,10"
dfs.client.retry.times.get-last-block-length, Number of retries for calls to fetchLocatedBlocksAndGetLastBlockLength().  ,3
dfs.client.retry.window.base," Base time window in ms for DFSClient retries.  For each retry attempt, this value is extended linearly (e.g. 3000 ms for first attempt and first retry, 6000 ms for second retry, 9000 ms for third retry, etc.).  ",3000
dfs.client.socket-timeout, Default timeout value in milliseconds for all sockets.  ,60000
dfs.client.socketcache.capacity, Socket cache capacity (in entries) for short-circuit reads.  ,16
dfs.client.socketcache.expiryMsec, Socket cache expiration for short-circuit reads in msec.  ,3000
dfs.client.test.drop.namenode.response.number, The number of Namenode responses dropped by DFSClient for each RPC call.  Used for testing the NN retry cache.  ,0
dfs.client.hedged.read.threadpool.size," Support 'hedged' reads in DFSClient. To enable this feature, set the parameter to a positive number. The threadpool size is how many threads to dedicate to the running of these 'hedged', concurrent reads in your client.  ",0
dfs.client.hedged.read.threshold.millis, Configure 'hedged' reads in DFSClient. This is the number of milliseconds to wait before starting up a 'hedged' read.  ,500
dfs.client.use.legacy.blockreader," If true, use the RemoteBlockReader class for local read short circuit.  If false, use the newer RemoteBlockReader2 class.  ",false
dfs.client.write.byte-array-manager.count-limit, The maximum number of arrays allowed for each array length.  ,2048
dfs.client.write.byte-array-manager.count-reset-time-period-ms, The time period in milliseconds that the allocation count for each array length is reset to zero if there is no increment.  ,10000
dfs.client.write.byte-array-manager.count-threshold," The count threshold for each array length so that a manager is created only after the allocation count exceeds the threshold. In other words, the particular array length is not managed until the allocation count exceeds the threshold.  ",128
dfs.client.write.byte-array-manager.enabled," If true, enables byte array manager used by DFSOutputStream.  ",false
dfs.client.write.max-packets-in-flight, The maximum number of DFSPackets allowed in flight.  ,80
dfs.content-summary.limit, The maximum content summary counts allowed in one locking period. 0 or a negative number means no limit (i.e. no yielding).  ,5000
dfs.content-summary.sleep-microsec," The length of time in microseconds to put the thread to sleep, between reaquiring the locks in content summary computation.  ",500
dfs.data.transfer.client.tcpnodelay," If true, set TCP_NODELAY to sockets for transferring data from DFS client.  ",true
dfs.datanode.balance.max.concurrent.moves," Maximum number of threads for Datanode balancer pending moves.  This value is reconfigurable via the ""dfsadmin -reconfig"" command.  ",50
dfs.datanode.fsdataset.factory, The class name for the underlying storage that stores replicas for a Datanode.  Defaults to org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.FsDatasetFactory.  ,
dfs.datanode.fsdataset.volume.choosing.policy," The class name of the policy for choosing volumes in the list of directories.  Defaults to org.apache.hadoop.hdfs.server.datanode.fsdataset.RoundRobinVolumeChoosingPolicy. If you would like to take into account available disk space, set the value to ""org.apache.hadoop.hdfs.server.datanode.fsdataset.AvailableSpaceVolumeChoosingPolicy"".  ",
dfs.datanode.hostname, Optional.  The hostname for the Datanode containing this configuration file.  Will be different for each machine. Defaults to current hostname.  ,
dfs.datanode.lazywriter.interval.sec, Interval in seconds for Datanodes for lazy persist writes.  ,60
dfs.datanode.network.counts.cache.max.size, The maximum number of entries the datanode per-host network error count cache may contain.  ,2147483647
dfs.datanode.oob.timeout-ms," Timeout value when sending OOB response for each OOB type, which are OOB_RESTART, OOB_RESERVED1, OOB_RESERVED2, and OOB_RESERVED3, respectively.  Currently, only OOB_RESTART is used.  ","1500,0,0,0"
dfs.datanode.parallel.volumes.load.threads.num, Maximum number of threads to use for upgrading data directories. The default value is the number of storage directories in the DataNode.  ,
dfs.datanode.ram.disk.replica.tracker, Name of the class implementing the RamDiskReplicaTracker interface. Defaults to org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.RamDiskReplicaLruTracker.  ,
dfs.datanode.restart.replica.expiration," During shutdown for restart, the amount of time in seconds budgeted for datanode restart.  ",50
dfs.datanode.socket.reuse.keepalive," The window of time in ms before the DataXceiver closes a socket for a single request.  If a second request occurs within that window, the socket can be reused.  ",4000
dfs.datanode.socket.write.timeout, Timeout in ms for clients socket writes to DataNodes.  ,480000
dfs.datanode.sync.behind.writes.in.background," If set to true, then sync_file_range() system call will occur asynchronously.  This property is only valid when the property dfs.datanode.sync.behind.writes is true.  ",false
dfs.datanode.transferTo.allowed," If false, break block transfers on 32-bit machines greater than or equal to 2GB into smaller chunks.  ",true
dfs.ha.fencing.methods, A list of scripts or Java classes which will be used to fence the Active NameNode during a failover.  See the HDFS High Availability documentation for details on automatic HA configuration.  ,
dfs.ha.standby.checkpoints," If true, a NameNode in Standby state periodically takes a checkpoint of the namespace, saves it to its local storage and then upload to the remote NameNode.  ",true
dfs.ha.zkfc.port, The port number that the zookeeper failover controller RPC server binds to.  ,8019
dfs.http.port," The http port for used for Hftp, HttpFS, and WebHdfs file systems.  ",
dfs.https.port, The https port for used for Hsftp and SWebHdfs file systems.  ,
dfs.journalnode.edits.dir, The directory where the journal edit files are stored.  ,/tmp/hadoop/dfs/journalnode/
dfs.journalnode.kerberos.internal.spnego.principal, Kerberos SPNEGO principal name used by the journal node.  ,
dfs.journalnode.kerberos.principal, Kerberos principal name for the journal node.  ,
dfs.journalnode.keytab.file, Kerberos keytab file for the journal node.  ,
dfs.ls.limit," Limit the number of files printed by ls. If less or equal to zero, at most DFS_LIST_LIMIT_DEFAULT (= 1000) will be printed.  ",1000
dfs.mover.movedWinWidth," The minimum time interval, in milliseconds, that a block can be moved to another location again.  ",5400000
dfs.mover.moverThreads, Configure the balancer's mover thread pool size.  ,1000
dfs.mover.retry.max.attempts, The maximum number of retries before the mover consider the move failed.  ,10
dfs.mover.max-no-move-interval," If this specified amount of time has elapsed and no block has been moved out of a source DataNode, on more effort will be made to move blocks out of this DataNode in the current Mover iteration.  ",60000
dfs.namenode.audit.log.async," If true, enables asynchronous audit log.  ",false
dfs.namenode.audit.log.token.tracking.id," If true, adds a tracking ID for all audit log events.  ",false
dfs.namenode.available-space-block-placement-policy.balanced-space-preference-fraction," Only used when the dfs.block.replicator.classname is set to org.apache.hadoop.hdfs.server.blockmanagement.AvailableSpaceBlockPlacementPolicy. Special value between 0 and 1, noninclusive.  Increases chance of placing blocks on Datanodes with less disk space used.  ",0.6
dfs.namenode.backup.dnrpc-address, Service RPC address for the backup Namenode.  ,
dfs.namenode.delegation.token.always-use," For testing.  Setting to true always allows the DT secret manager to be used, even if security is disabled.  ",false
dfs.namenode.edits.asynclogging," If set to true, enables asynchronous edit logs in the Namenode.  If set to false, the Namenode uses the traditional synchronous edit logs.  ",true
dfs.namenode.edits.dir.minimum," dfs.namenode.edits.dir includes both required directories (specified by dfs.namenode.edits.dir.required) and optional directories. The number of usable optional directories must be greater than or equal to this property.  If the number of usable optional directories falls below dfs.namenode.edits.dir.minimum, HDFS will issue an error. This property defaults to 1.  ",1
dfs.namenode.edits.journal-plugin," When FSEditLog is creating JournalManagers from dfs.namenode.edits.dir, and it encounters a URI with a schema different to ""file"" it loads the name of the implementing class from ""dfs.namenode.edits.journal-plugin.[schema]"". This class must implement JournalManager and have a constructor which takes (Configuration, URI).  ",
dfs.namenode.file.close.num-committed-allowed," Normally a file can only be closed with all its blocks are committed. When this value is set to a positive integer N, a file can be closed when N blocks are committed and the rest complete.  ",0
dfs.namenode.inode.attributes.provider.class, Name of class to use for delegating HDFS authorization.  ,
dfs.namenode.inode.attributes.provider.bypass.users, A list of user principals (in secure cluster) or user names (in insecure cluster) for whom the external attributes provider will be bypassed for all operations. This means file attributes stored in HDFS instead of the external provider will be used for permission checking and be returned when requested.  ,
dfs.namenode.max-num-blocks-to-log, Puts a limit on the number of blocks printed to the log by the Namenode after a block report.  ,1000
dfs.namenode.max.op.size, Maximum opcode size in bytes.  ,52428800
dfs.namenode.name.cache.threshold, Frequently accessed files that are accessed more times than this threshold are cached in the FSDirectory nameCache.  ,10
dfs.namenode.replication.max-streams, Hard limit for the number of highest-priority replication streams.  ,2
dfs.namenode.replication.max-streams-hard-limit, Hard limit for all replication streams.  ,4
dfs.namenode.replication.pending.timeout-sec," Timeout in seconds for block replication.  If this value is 0 or less, then it will default to 5 minutes.  ",-1
dfs.namenode.stale.datanode.minimum.interval," Minimum number of missed heartbeats intervals for a datanode to be marked stale by the Namenode.  The actual interval is calculated as (dfs.namenode.stale.datanode.minimum.interval * dfs.heartbeat.interval) in seconds.  If this value is greater than the property dfs.namenode.stale.datanode.interval, then the calculated value above is used.  ",3
dfs.namenode.snapshot.capture.openfiles," If true, snapshots taken will have an immutable shared copy of the open files that have valid leases. Even after the open files grow or shrink in size, snapshot will always have the previous point-in-time version of the open files, just like all other closed files. Default is false. Note: The file length captured for open files in snapshot is whats recorded in NameNode at the time of snapshot and it may be shorter than what the client has written till then. In order to capture the latest length, the client can call hflush/hsync with the flag SyncFlag.UPDATE_LENGTH on the open files handles.  ",false
dfs.namenode.snapshot.skip.capture.accesstime-only-change," If accessTime of a file/directory changed but there is no other modification made to the file/directory, the changed accesstime will not be captured in next snapshot. However, if there is other modification made to the file/directory, the latest access time will be captured together with the modification in next snapshot.  ",false
dfs.pipeline.ecn," If true, allows ECN (explicit congestion notification) from the Datanode.  ",false
dfs.qjournal.accept-recovery.timeout.ms, Quorum timeout in milliseconds during accept phase of recovery/synchronization for a specific segment.  ,120000
dfs.qjournal.finalize-segment.timeout.ms, Quorum timeout in milliseconds during finalizing for a specific segment.  ,120000
dfs.qjournal.get-journal-state.timeout.ms, Timeout in milliseconds when calling getJournalState(). JournalNodes.  ,120000
dfs.qjournal.new-epoch.timeout.ms, Timeout in milliseconds when getting an epoch number for write access to JournalNodes.  ,120000
dfs.qjournal.prepare-recovery.timeout.ms, Quorum timeout in milliseconds during preparation phase of recovery/synchronization for a specific segment.  ,120000
dfs.qjournal.queued-edits.limit.mb, Queue size in MB for quorum journal edits.  ,10
dfs.qjournal.select-input-streams.timeout.ms, Timeout in milliseconds for accepting streams from JournalManagers.  ,20000
dfs.qjournal.start-segment.timeout.ms, Quorum timeout in milliseconds for starting a log segment.  ,20000
dfs.qjournal.write-txns.timeout.ms, Write timeout in milliseconds when writing to a quorum of remote journals.  ,20000
dfs.quota.by.storage.type.enabled," If true, enables quotas based on storage type.  ",true
dfs.secondary.namenode.kerberos.principal, Kerberos principal name for the Secondary NameNode.  ,
dfs.secondary.namenode.keytab.file, Kerberos keytab file for the Secondary NameNode.  ,
dfs.support.append, Enables append support on the NameNode.  ,true
dfs.web.authentication.filter, Authentication filter class used for WebHDFS.  ,org.apache.hadoop.hdfs.web.AuthFilter
dfs.web.authentication.simple.anonymous.allowed," If true, allow anonymous user to access WebHDFS. Set to false to disable anonymous authentication.  ",
dfs.web.ugi, dfs.web.ugi is deprecated. Use hadoop.http.staticuser.user instead.  ,
dfs.webhdfs.netty.high.watermark, High watermark configuration to Netty for Datanode WebHdfs.  ,65535
dfs.webhdfs.netty.low.watermark, Low watermark configuration to Netty for Datanode WebHdfs.  ,32768
dfs.webhdfs.oauth2.access.token.provider, Access token provider class for WebHDFS using OAuth2. Defaults to org.apache.hadoop.hdfs.web.oauth2.ConfCredentialBasedAccessTokenProvider.  ,
dfs.webhdfs.oauth2.client.id, Client id used to obtain access token with either credential or refresh token.  ,
dfs.webhdfs.oauth2.enabled," If true, enables OAuth2 in WebHDFS  ",false
dfs.webhdfs.oauth2.refresh.url, URL against which to post for obtaining bearer token with either credential or refresh token.  ,
ssl.server.keystore.keypassword, Keystore key password for HTTPS SSL configuration  ,
ssl.server.keystore.location, Keystore location for HTTPS SSL configuration  ,
ssl.server.keystore.password, Keystore password for HTTPS SSL configuration  ,
dfs.balancer.keytab.enabled, Set to true to enable login using a keytab for Kerberized Hadoop.  ,false
dfs.balancer.address, The hostname used for a keytab based Kerberos login. Keytab based login can be enabled with dfs.balancer.keytab.enabled.  ,0.0.0.0:0
dfs.balancer.keytab.file, The keytab file used by the Balancer to login as its service principal. The principal name is configured with dfs.balancer.kerberos.principal. Keytab based login can be enabled with dfs.balancer.keytab.enabled.  ,
dfs.balancer.kerberos.principal, The Balancer principal. This is typically set to balancer/_HOST@REALM.TLD. The Balancer will substitute _HOST with its own fully qualified hostname at startup. The _HOST placeholder allows using the same configuration setting on different servers. Keytab based login can be enabled with dfs.balancer.keytab.enabled.  ,
ssl.server.truststore.location, Truststore location for HTTPS SSL configuration  ,
ssl.server.truststore.password, Truststore password for HTTPS SSL configuration  ,
dfs.lock.suppress.warning.interval,Instrumentation reporting long critical sections will suppress consecutive warnings within this interval.,10s
dfs.webhdfs.use.ipc.callq,Enables routing of webhdfs calls through rpc   call queue,true
httpfs.buffer.size, The size buffer to be used when creating or opening httpfs filesystem IO stream. ,4096
dfs.datanode.disk.check.min.gap,   The minimum gap between two successive checks of the same DataNode   volume. This setting supports multiple time unit suffixes as described   in dfs.heartbeat.interval. If no suffix is specified then milliseconds   is assumed. ,15m
dfs.datanode.disk.check.timeout,   Maximum allowed time for a disk check to complete during DataNode   startup. If the check does not complete within this time interval   then the disk is declared as failed. This setting supports   multiple time unit suffixes as described in dfs.heartbeat.interval.   If no suffix is specified then milliseconds is assumed. ,10m
dfs.use.dfs.network.topology,  Enables DFSNetworkTopology to choose nodes for placing replicas. ,true
dfs.qjm.operations.timeout,   Common key to set timeout for related operations in   QuorumJournalManager. This setting supports multiple time unit suffixes   as described in dfs.heartbeat.interval.   If no suffix is specified then milliseconds is assumed. ,60s
dfs.reformat.disabled,"   Disable reformat of NameNode. If it's value is set to ""true""   and metadata directories already exist then attempt to format NameNode   will throw NameNodeFormatException. ",false
