yarn.resourcemanager.opportunistic-container-allocation.nodes-used, Number of nodes to be used by the Opportunistic Container Allocator for dispatching containers during container allocation. ,10
yarn.resourcemanager.nm-container-queuing.sorting-nodes-interval-ms, Frequency for computing least loaded NMs. ,1000
yarn.resourcemanager.nm-container-queuing.load-comparator, Comparator for determining node load for Distributed Scheduling. ,QUEUE_LENGTH
yarn.resourcemanager.nm-container-queuing.queue-limit-stdev, Value of standard deviation used for calculation of queue limit thresholds. ,1.0f
yarn.resourcemanager.nm-container-queuing.min-queue-length, Min length of container queue at NodeManager. ,5
yarn.resourcemanager.nm-container-queuing.max-queue-length, Max length of container queue at NodeManager. ,15
yarn.resourcemanager.nm-container-queuing.min-queue-wait-time-ms, Min queue wait time for a container at a NodeManager. ,10
yarn.resourcemanager.nm-container-queuing.max-queue-wait-time-ms, Max queue wait time for a container queue at a NodeManager. ,100
yarn.nodemanager.opportunistic-containers-use-pause-for-preemption, Use container pause as the preemption policy over kill in the container queue at a NodeManager. ,false
yarn.nodemanager.container.stderr.pattern," Error filename pattern, to identify the file in the container's Log directory which contain the container's error log. As error file redirection is done by client/AM and yarn will not be aware of the error file name. YARN uses this pattern to identify the error file and tail the error log as diagnostics when the container execution returns non zero value. Filename patterns are case sensitive and should match the specifications of FileSystem.globStatus(Path) api. If multiple filenames matches the pattern, first file matching the pattern will be picked. ","{*stderr*,*STDERR*}"
yarn.nodemanager.container.stderr.tail.bytes ," Size of the container error file which needs to be tailed, in bytes. ",4096
yarn.node-labels.fs-store.impl.class, Choose different implementation of node label's storage ,org.apache.hadoop.yarn.nodelabels.FileSystemNodeLabelsStore
yarn.resourcemanager.webapp.rest-csrf.enabled,   Enable the CSRF filter for the RM web app ,false
yarn.resourcemanager.webapp.rest-csrf.custom-header,   Optional parameter that indicates the custom header name to use for CSRF   protection. ,X-XSRF-Header
yarn.resourcemanager.webapp.rest-csrf.methods-to-ignore,   Optional parameter that indicates the list of HTTP methods that do not   require CSRF protection ,"GET,OPTIONS,HEAD"
yarn.nodemanager.webapp.rest-csrf.enabled,   Enable the CSRF filter for the NM web app ,false
yarn.nodemanager.webapp.rest-csrf.custom-header,   Optional parameter that indicates the custom header name to use for CSRF   protection. ,X-XSRF-Header
yarn.nodemanager.webapp.rest-csrf.methods-to-ignore,   Optional parameter that indicates the list of HTTP methods that do not   require CSRF protection ,"GET,OPTIONS,HEAD"
yarn.nodemanager.disk-validator,   The name of disk validator. ,basic
yarn.timeline-service.webapp.rest-csrf.enabled,   Enable the CSRF filter for the timeline service web app ,false
yarn.timeline-service.webapp.rest-csrf.custom-header,   Optional parameter that indicates the custom header name to use for CSRF   protection. ,X-XSRF-Header
yarn.timeline-service.webapp.rest-csrf.methods-to-ignore,   Optional parameter that indicates the list of HTTP methods that do not   require CSRF protection ,"GET,OPTIONS,HEAD"
yarn.webapp.xfs-filter.enabled,   Enable the XFS filter for YARN ,true
yarn.resourcemanager.webapp.xfs-filter.xframe-options,   Property specifying the xframe options value. ,SAMEORIGIN
yarn.nodemanager.webapp.xfs-filter.xframe-options,   Property specifying the xframe options value. ,SAMEORIGIN
yarn.timeline-service.webapp.xfs-filter.xframe-options,   Property specifying the xframe options value. ,SAMEORIGIN
yarn.resourcemanager.node-removal-untracked.timeout-ms," The least amount of time(msec.) an inactive (decommissioned or shutdown) node can stay in the nodes list of the resourcemanager after being declared untracked. A node is marked untracked if and only if it is absent from both include and exclude nodemanager lists on the RM. All inactive nodes are checked twice per timeout interval or every 10 minutes, whichever is lesser, and marked appropriately. The same is done when refreshNodes command (graceful or otherwise) is invoked. ",60000
yarn.resourcemanager.application-timeouts.monitor.interval-ms, The RMAppLifetimeMonitor Service uses this value as monitor interval ,3000
yarn.app.attempt.diagnostics.limit.kc,"   Defines the limit of the diagnostics message of an application   attempt, in kilo characters (character count * 1024).   When using ZooKeeper to store application state behavior, it's   important to limit the size of the diagnostic messages to   prevent YARN from overwhelming ZooKeeper. In cases where   yarn.resourcemanager.state-store.max-completed-applications is set to   a large number, it may be desirable to reduce the value of this property   to limit the total data stored. ",64
yarn.timeline-service.http-cross-origin.enabled,"   Flag to enable cross-origin (CORS) support for timeline service v1.x or   Timeline Reader in timeline service v2. For timeline service v2, also add   org.apache.hadoop.security.HttpCrossOriginFilterInitializer to the   configuration hadoop.http.filter.initializers in core-site.xml. ",false
yarn.scheduler.queue-placement-rules,"   Comma-separated list of PlacementRules to determine how applications   submitted by certain users get mapped to certain queues. Default is   user-group, which corresponds to UserGroupMappingPlacementRule. ",user-group
yarn.timeline-service.entity-group-fs-store.with-user-dir,    It is TimelineClient 1.5 configuration whether to store active    application’s timeline data with in user directory i.e    ${yarn.timeline-service.entity-group-fs-store.active-dir}/${user.name} ,false
yarn.router.clientrm.interceptor-class.pipeline,   The comma separated list of class names that implement the   RequestInterceptor interface. This is used by the RouterClientRMService   to create the request processing pipeline for users. ,org.apache.hadoop.yarn.server.router.clientrm.DefaultClientRequestInterceptor
yarn.router.pipeline.cache-max-size,   Size of LRU cache for Router ClientRM Service and RMAdmin Service. ,25
yarn.router.rmadmin.interceptor-class.pipeline,   The comma separated list of class names that implement the   RequestInterceptor interface. This is used by the RouterRMAdminService   to create the request processing pipeline for users. ,org.apache.hadoop.yarn.server.router.rmadmin.DefaultRMAdminRequestInterceptor
yarn.router.bind-host,"   The actual address the server will bind to. If this optional address is   set, the RPC and webapp servers will bind to this address and the port specified in   yarn.router.address and yarn.router.webapp.address, respectively. This is   most useful for making Router listen to all interfaces by setting to 0.0.0.0. ",
yarn.router.webapp.interceptor-class.pipeline,   The comma separated list of class names that implement the   RequestInterceptor interface. This is used by the RouterWebServices   to create the request processing pipeline for users. ,org.apache.hadoop.yarn.server.router.webapp.DefaultRequestInterceptorREST
yarn.router.webapp.address,"   The http address of the Router web application.   If only a host is provided as the value,   the webapp will be served on a random port. ",0.0.0.0:8089
 yarn.router.webapp.https.address,"   The https address of the Router web application.   If only a host is provided as the value,   the webapp will be served on a random port. ",0.0.0.0:8091
yarn.resourcemanager.display.per-user-apps,  Flag to enable display of applications per user as an admin  configuration.   ,false
yarn.scheduler.configuration.store.class,"   The type of configuration store to use for scheduler configurations.   Default is ""file"", which uses file based capacity-scheduler.xml to   retrieve and change scheduler configuration. To enable API based   scheduler configuration, use either ""memory"" (in memory storage, no   persistence across restarts), ""leveldb"" (leveldb based storage), or   ""zk"" (zookeeper based storage). API based configuration is only useful   when using a scheduler which supports mutable configuration. Currently   only capacity scheduler supports this. ",file
yarn.scheduler.configuration.mutation.acl-policy.class,   The class to use for configuration mutation ACL policy if using a mutable   configuration provider. Controls whether a mutation request is allowed.   The DefaultConfigurationMutationACLPolicy checks if the requestor is a   YARN admin. ,org.apache.hadoop.yarn.server.resourcemanager.scheduler.DefaultConfigurationMutationACLPolicy
yarn.scheduler.configuration.leveldb-store.path,"   The storage path for LevelDB implementation of configuration store,   when yarn.scheduler.configuration.store.class is configured to be   ""leveldb"". ",${hadoop.tmp.dir}/yarn/system/confstore
yarn.scheduler.configuration.leveldb-store.compaction-interval-secs,"   The compaction interval for LevelDB configuration store in secs,   when yarn.scheduler.configuration.store.class is configured to be   ""leveldb"". Default is one day. ",86400
yarn.scheduler.configuration.store.max-logs,"   The max number of configuration change log entries kept in config   store, when yarn.scheduler.configuration.store.class is configured to be   ""leveldb"" or ""zk"". Default is 1000 for either. ",1000
yarn.scheduler.configuration.zk-store.parent-path,   ZK root node path for configuration store when using zookeeper-based   configuration store. ,/confstore
